,team2_id,team2_score,team1_id,team1_score,WLoc,num_ot,team2_position,team1_position,team2_seed,team1_seed,strongseed,weakseed,team2_region,team1_region,slot,team2_teamname,team1_teamname,season,host,host_lat,host_long,team2_lat,team2_long,team1_lat,team1_long,team2_coach_id,team2_pt_school_ncaa,team2_pt_overall_ncaa,team2_pt_school_s16,team2_pt_overall_s16,team2_pt_school_ff,team2_pt_overall_ff,team2_pt_career_school_wins,team2_pt_career_school_losses,team2_pt_career_overall_wins,team2_pt_career_overall_losses,team2_pt_team_season_wins,team2_pt_team_season_losses,team2_pt_coach_season_wins,team2_pt_coach_season_losses,team1_coach_id,team1_pt_school_ncaa,team1_pt_overall_ncaa,team1_pt_school_s16,team1_pt_overall_s16,team1_pt_school_ff,team1_pt_overall_ff,team1_pt_career_school_wins,team1_pt_career_school_losses,team1_pt_career_overall_wins,team1_pt_career_overall_losses,team1_pt_team_season_wins,team1_pt_team_season_losses,team1_pt_coach_season_wins,team1_pt_coach_season_losses,team2_ap_final,team2_ap_preseason,team2_coaches_before_final,team2_coaches_preseason,team1_ap_final,team1_ap_preseason,team1_coaches_before_final,team1_coaches_preseason,team2_fg2pct,team2_fg3pct,team2_ftpct,team2_blockpct,team2_oppfg2pct,team2_oppfg3pct,team2_oppftpct,team2_oppblockpct,team2_f3grate,team2_oppf3grate,team2_arate,team2_opparate,team2_stlrate,team2_oppstlrate,team1_fg2pct,team1_fg3pct,team1_ftpct,team1_blockpct,team1_oppfg2pct,team1_oppfg3pct,team1_oppftpct,team1_oppblockpct,team1_f3grate,team1_oppf3grate,team1_arate,team1_opparate,team1_stlrate,team1_oppstlrate,team2_tempo,team2_adjtempo,team2_oe,team2_adjoe,team2_de,team2_adjde,team1_tempo,team1_adjtempo,team1_oe,team1_adjoe,team1_de,team1_adjde,game_id,result
556,1326,75,1210,66,N,0,Y02,Y10,2,10,2,10,Y,Y,R2Y2,Ohio St,Georgia Tech,2010,providence,41.8236,-71.4222,39.998389,-83.009001,33.773732,-84.396019,thad-matta-1,3,7,1,2,1,1,154,53,256,84,27,7,27,7,paul-hewitt-1,4,5,1,1,1,1,176,143,242,170,22,12,22,12,5,16,6,17,,22,,20,54.8062,38.9831,69.6503,12.1894,45.1087,33.7001,70.9981,5.814,35.4354,36.0794,55.4425,55.8111,0.1086,0.0818,49.0291,35.7895,65.4809,13.6432,42.8036,31.2925,66.9903,7.8363,28.33,35.5244,52.5796,57.5531,0.1114,0.1118,64.7507,65.8241,113.6388,116.1582,94.1432,92.6564,70.8161,69.6914,102.0208,107.223,93.5159,91.4419,2010-1326-1210,0
557,1345,63,1401,61,N,1,X04,X05,4,5,4,5,X,X,R2X4,Purdue,Texas A&M,2010,spokane,47.6589,-117.425,40.428206,-86.914435,30.596291,-96.306732,matt-painter-1,3,4,1,1,0,0,110,55,135,60,27,5,27,5,mark-turgeon-1,2,3,0,1,0,0,72,30,225,149,23,9,23,9,6,7,11,7,23,,23,,49.6713,31.8569,72.3179,12.1896,41.6102,35.3167,71.4706,6.6472,30.0102,28.1622,56.8627,51.289,0.1051,0.0779,49.0179,33.7705,66.3573,9.015,44.9082,33.612,69.9213,12.2972,34.2504,33.2962,51.0256,54.3978,0.099,0.0968,66.7383,67.1506,106.5055,107.2779,91.454,88.7593,66.4943,65.6275,107.133,109.9856,97.1052,91.8015,2010-1345-1401,0
558,1393,87,1211,65,N,0,Z01,Z08,1,8,1,8,Z,Z,R2Z1,Syracuse,Gonzaga,2010,buffalo,42.9047,-78.8494,43.037587,-76.135062,47.668144,-117.403062,jim-boeheim-1,26,26,13,13,3,3,827,292,827,292,28,4,28,4,mark-few-1,10,10,4,4,0,0,290,72,290,72,26,6,26,6,3,,4,25,18,,18,,57.1224,39.1026,67.651,17.1851,46.2675,30.2083,63.7024,5.7266,30.8758,40.186,64.5873,63.4346,0.1355,0.1194,54.3981,35.4582,66.7043,10.3132,44.767,33.9117,65.3614,7.3302,27.9199,32.63,50.2831,51.186,0.0924,0.0929,71.3215,70.7441,114.266,115.7085,94.1878,91.8891,69.1672,68.8178,110.9178,110.4838,97.1099,96.2094,2010-1393-1211,0
559,1452,68,1281,59,N,0,W02,W10,2,10,2,10,W,W,R2W2,West Virginia,Missouri,2010,buffalo,42.9047,-78.8494,39.63468,-79.953926,38.626527,-90.336949,bob-huggins-1,2,17,1,5,0,1,76,29,594,215,27,6,27,6,mike-anderson-1,1,4,1,2,0,0,87,45,176,86,22,10,22,10,7,8,5,9,,,,,47.9356,33.7714,70.3917,11.3887,46.0691,32.3529,67.8981,7.8376,34.7489,32.1873,62.4204,52.2727,0.0859,0.0944,47.6123,36.8046,72.409,12.2511,45.1761,31.6781,70.2446,7.484,33.3175,30.8995,56.3715,49.2903,0.1519,0.0835,63.9891,63.413,111.9112,115.8246,97.7246,92.8376,71.6786,70.5175,107.1079,107.353,91.6829,91.5904,2010-1452-1281,0
560,1462,71,1338,68,N,0,Z06,Z03,6,3,3,6,Z,Z,R2Z3,Xavier,Pittsburgh,2010,milwaukee,43.05,-87.95,39.149291,-84.477648,40.444502,-79.954692,chris-mack-1,0,0,0,0,0,0,24,8,24,8,24,8,24,8,jamie-dixon-1,6,6,3,3,0,0,187,53,187,53,24,8,24,8,24,,,,16,,16,,50.141,37.6506,71.134,8.8949,46.0243,29.822,65.4443,12.4118,31.8924,31.2326,51.4048,53.0543,0.0927,0.0884,48.9097,34.2803,69.2903,10.412,43.5955,31.3869,66.0911,10.3583,29.1391,29.1025,66.2546,50.2653,0.0811,0.0852,70.5196,70.7366,110.8022,114.0637,95.688,95.8879,62.342,61.8614,106.7708,109.9858,96.4841,92.9145,2010-1462-1338,0
561,1139,63,1393,59,N,0,Z05,Z01,5,1,1,5,Z,Z,R3Z1,Butler,Syracuse,2010,salt_lake_city,40.75,-111.8833,39.840662,-86.171791,43.037587,-76.135062,brad-stevens-1,2,2,0,0,0,0,84,14,84,14,28,4,28,4,jim-boeheim-1,26,26,13,13,3,3,827,292,827,292,28,4,28,4,12,11,8,10,3,,4,25,50.8696,34.1656,73.7723,6.4955,46.148,31.6993,67.8625,10.4348,39.8221,31.6116,54.9112,50.559,0.1093,0.0818,57.1224,39.1026,67.651,17.1851,46.2675,30.2083,63.7024,5.7266,30.8758,40.186,64.5873,63.4346,0.1355,0.1194,64.5273,65.1617,108.4929,108.1695,92.5372,89.6286,71.3215,70.7441,114.266,115.7085,94.1878,91.8891,2010-1139-1393,0
562,1243,101,1462,96,N,2,Z02,Z06,2,6,2,6,Z,Z,R3Z2,Kansas St,Xavier,2010,salt_lake_city,40.75,-111.8833,39.188616,-96.581077,39.149291,-84.477648,frank-martin-1,1,1,0,0,0,0,69,31,69,31,26,7,26,7,chris-mack-1,0,0,0,0,0,0,24,8,24,8,24,8,24,8,9,,7,,24,,,,48.9951,36.0176,66.8539,13.3624,45.1707,33.7229,70.2991,8.2467,32.1261,30.3138,54.6695,51.4563,0.1038,0.0969,50.141,37.6506,71.134,8.8949,46.0243,29.822,65.4443,12.4118,31.8924,31.2326,51.4048,53.0543,0.0927,0.0884,72.0244,71.048,109.5895,113.9432,95.6136,91.5124,70.5196,70.7366,110.8022,114.0637,95.688,95.8879,2010-1243-1462,0
563,1246,62,1165,45,N,0,W01,W12,1,12,1,12,W,W,R3W1,Kentucky,Cornell,2010,syracuse,43.0469,-76.1444,38.028081,-84.510698,42.445291,-76.48269,john-calipari-1,0,11,0,7,0,2,32,2,477,142,32,2,32,2,steve-donahue-1,2,2,0,0,0,0,144,137,144,137,27,4,27,4,2,4,2,5,,,,,54.5752,33.142,66.9072,17.7662,41.1496,31.2899,68.8501,7.7778,31.2977,33.8375,53.3771,47.6571,0.1036,0.0969,51.0758,43.2815,73.3591,10.0176,46.6608,34.2105,71.5397,8.6062,39.8086,31.8563,59.0376,52.1739,0.108,0.0976,70.2518,69.4026,111.7162,111.7599,92.0294,89.6768,65.5326,65.7817,113.4091,114.0527,97.4265,102.0349,2010-1246-1165,0
564,1452,69,1449,56,N,0,W02,W11,2,11,2,11,W,W,R3W2,West Virginia,Washington,2010,syracuse,43.0469,-76.1444,39.63468,-79.953926,39.217329,-76.06878,bob-huggins-1,2,17,1,5,0,1,76,29,594,215,27,6,27,6,lorenzo-romar-1,4,5,2,2,0,0,169,90,262,178,24,9,24,9,7,8,5,9,,14,,13,47.9356,33.7714,70.3917,11.3887,46.0691,32.3529,67.8981,7.8376,34.7489,32.1873,62.4204,52.2727,0.0859,0.0944,49.4526,33.6268,72.0442,10.0874,45.8642,32.13,68.1668,6.5693,25.6781,27.1436,51.2948,46.2791,0.1002,0.0835,63.9891,63.413,111.9112,115.8246,97.7246,92.8376,73.2105,73.2103,108.3075,109.5266,95.6118,95.1524,2010-1452-1449,0
565,1124,72,1388,49,N,0,X03,X10,3,10,3,10,X,X,R3X2,Baylor,St Mary's CA,2010,st_louis,38.6272,-90.1978,31.545956,-97.119359,29.451793,-98.564307,scott-drew-1,1,1,0,0,0,0,106,102,126,113,25,7,25,7,randy-bennett-1,2,2,0,0,0,0,181,102,181,102,26,5,26,5,21,,21,,,,,,52.9985,38.1847,72.8933,17.1091,41.2979,33.6146,67.9887,6.3718,32.3872,34.3977,50.7886,57.9474,0.0962,0.0899,52.1811,40.5286,76.129,11.1776,46.3739,30.1969,65.9359,6.5021,35.9177,23.3163,57.4725,38.5629,0.0735,0.0843,67.519,65.8184,112.7598,117.53,98.0898,95.608,67.4434,67.9883,116.3831,114.3804,97.8036,97.4088,2010-1124-1388,0
